pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b3_bendesc_yn	pbp_b3_bendesc_ehc	pbp_b3_bendesc_amo_crs	pbp_b3_bendesc_lim_crs	pbp_b3_bendesc_numv_crs	pbp_b3_bendesc_per_crs	pbp_b3_bendesc_per_crs_d	pbp_b3_bendesc_amo_icrs	pbp_b3_bendesc_lim_icrs	pbp_b3_bendesc_numv_icrs	pbp_b3_bendesc_per_icrs	pbp_b3_bendesc_per_icrs_d	pbp_b3_bendesc_amo_prs	pbp_b3_bendesc_lim_prs	pbp_b3_bendesc_numv_prs	pbp_b3_bendesc_per_prs	pbp_b3_bendesc_per_prs_d	pbp_b3_bendesc_amo_setpad	pbp_b3_bendesc_lim_setpad	pbp_b3_bendesc_numv_setpad	pbp_b3_bendesc_per_setpad	pbp_b3_bendesc_per_setpad_d	pbp_b3_coins_yn	pbp_b3_coins_ehc	pbp_b3_coins_pct_min_crs	pbp_b3_coins_pct_max_crs	pbp_b3_coins_pct_min_icrs	pbp_b3_coins_pct_max_icrs	pbp_b3_coins_pct_min_prs	pbp_b3_coins_pct_max_prs	pbp_b3_coins_pct_min_setpad	pbp_b3_coins_pct_max_setpad	pbp_b3_copay_yn	pbp_b3_copay_ehc	pbp_b3_copay_amt_min_crs	pbp_b3_copay_amt_max_crs	pbp_b3_copay_amt_min_icrs	pbp_b3_copay_amt_max_icrs	pbp_b3_copay_amt_min_prs	pbp_b3_copay_amt_max_prs	pbp_b3_copay_amt_min_setpad	pbp_b3_copay_amt_max_setpad	pbp_b3_auth_yn	pbp_b3_refer_yn
H5522	837	0	1	04	01	H5522_837_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5522	838	0	2	04	01	H5522_838_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H5593	801	0	1	01	01	H5593_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H5793	801	0	1	01	01	H5793_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H5793	802	0	1	01	01	H5793_802_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H7149	801	0	1	01	01	H7149_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H7301	803	0	1	04	01	H7301_803_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
H8332	801	0	1	01	01	H8332_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H8649	801	0	1	01	01	H8649_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H8649	803	0	1	01	01	H8649_803_0	1	2	1	1111	2	1				2	1				2	1				2	1				2										2										2	2
H9431	801	0	1	04	01	H9431_801_0	1	2	1	1111	2	1				2	1				2	1				2	1				1	10000111	0	20	0	20	0	20	0	20	2										2	2
