pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b13a_bendesc_yn	pbp_b13a_bendesc_ehc	pbp_b13a_bendesc_amo	pbp_b13a_bendesc_lim	pbp_b13a_bendesc_numv	pbp_b13a_bendesc_per	pbp_b13a_bendesc_per_d	pbp_b13a_maxplan_yn	pbp_b13a_maxplan_amt	pbp_b13a_maxplan_per	pbp_b13a_maxplan_per_d	pbp_b13a_maxenr_yn	pbp_b13a_maxenr_amt	pbp_b13a_maxenr_per	pbp_b13a_maxenr_per_d	pbp_b13a_coins_yn	pbp_b13a_coins_pct_min	pbp_b13a_coins_pct_max	pbp_b13a_ded_yn	pbp_b13a_ded_amt	pbp_b13a_copay_yn	pbp_b13a_copay_amt_min	pbp_b13a_copay_amt_max	pbp_b13a_auth_yn	pbp_b13a_refer_yn	pbp_b13b_bendesc_otc	pbp_b13b_bendesc_amo	pbp_b13b_maxplan_yn	pbp_b13b_maxplan_amt	pbp_b13b_otc_maxplan_per	pbp_b13b_maxplan_prd_yn	pbp_b13b_maxenr_yn	pbp_b13b_maxenr_amt	pbp_b13b_maxenr_per	pbp_b13b_maxenr_per_d	pbp_b13b_nrt_yn	pbp_b13b_nrt_attestation	pbp_b13b_naloxone_yn	pbp_b13b_coins_yn	pbp_b13b_coins_pct_min	pbp_b13b_coins_pct_max	pbp_b13b_ded_yn	pbp_b13b_ded_amt	pbp_b13b_copay_yn	pbp_b13b_copay_amt_min	pbp_b13b_copay_amt_max	pbp_b13b_cms_otc_list_yn	pbp_b13b_mode	pbp_b13b_mode_desc	pbp_b13b_auth_yn	pbp_b13c_bendesc_service	pbp_b13c_bendesc_amo	pbp_b13c_meal_type_chk	pbp_b13c_maxplan_yn	pbp_b13c_maxplan_amt	pbp_b13c_maxplan_per	pbp_b13c_maxplan_per_d	pbp_b13c_maxenr_yn	pbp_b13c_maxenr_amt	pbp_b13c_maxenr_per	pbp_b13c_maxenr_per_d	pbp_b13c_coins_yn	pbp_b13c_coins_pct_min	pbp_b13c_coins_pct_max	pbp_b13c_ded_yn	pbp_b13c_ded_amt	pbp_b13c_copay_yn	pbp_b13c_copay_amt_min	pbp_b13c_copay_amt_max	pbp_b13c_auth_yn	pbp_b13c_refer_yn	pbp_b13d_bendesc_service	pbp_b13d_bendesc_amo	pbp_b13d_maxplan_yn	pbp_b13d_maxplan_amt	pbp_b13d_maxplan_per	pbp_b13d_maxplan_per_d	pbp_b13d_maxenr_yn	pbp_b13d_maxenr_amt	pbp_b13d_maxenr_per	pbp_b13d_maxenr_per_d	pbp_b13d_coins_yn	pbp_b13d_coins_pct_min	pbp_b13d_coins_pct_max	pbp_b13d_ded_yn	pbp_b13d_ded_amt	pbp_b13d_copay_yn	pbp_b13d_copay_amt_min	pbp_b13d_copay_amt_max	pbp_b13d_auth_yn	pbp_b13d_refer_yn	pbp_b13e_bendesc_service	pbp_b13e_bendesc_amo	pbp_b13e_maxplan_yn	pbp_b13e_maxplan_amt	pbp_b13e_maxplan_per	pbp_b13e_maxplan_per_d	pbp_b13e_maxenr_yn	pbp_b13e_maxenr_amt	pbp_b13e_maxenr_per	pbp_b13e_maxenr_per_d	pbp_b13e_coins_yn	pbp_b13e_coins_pct_min	pbp_b13e_coins_pct_max	pbp_b13e_ded_yn	pbp_b13e_ded_amt	pbp_b13e_copay_yn	pbp_b13e_copay_amt_min	pbp_b13e_copay_amt_max	pbp_b13e_auth_yn	pbp_b13e_refer_yn	pbp_b13f_bendesc_service	pbp_b13f_bendesc_amo	pbp_b13f_maxplan_yn	pbp_b13f_maxplan_amt	pbp_b13f_maxplan_per	pbp_b13f_maxplan_per_d	pbp_b13f_maxenr_yn	pbp_b13f_maxenr_amt	pbp_b13f_maxenr_per	pbp_b13f_maxenr_per_d	pbp_b13f_coins_yn	pbp_b13f_coins_pct_min	pbp_b13f_coins_pct_max	pbp_b13f_ded_yn	pbp_b13f_ded_amt	pbp_b13f_copay_yn	pbp_b13f_copay_amt_min	pbp_b13f_copay_amt_max	pbp_b13f_auth_yn	pbp_b13f_refer_yn
H1019	001	0	1	02	01	H1019_001_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1019	006	0	1	01	01	H1019_006_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1019	103	1	1	01	01	H1019_103_1	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1019	103	2	1	01	01	H1019_103_2	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1019	109	0	1	01	01	H1019_109_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	00010		2																																																																																	
H1019	113	0	1	01	01	H1019_113_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1019	118	0	1	01	01	H1019_118_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	00010		2																																																																																	
H1019	121	0	1	01	01	H1019_121_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	00010		2																																																																																	
H1019	123	0	1	01	01	H1019_123_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	00010		2																																																																																	
H1019	124	0	1	02	01	H1019_124_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10010	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1019	130	0	1	02	01	H1019_130_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10010	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1019	147	2	1	01	01	H1019_147_2	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1019	151	2	1	01	01	H1019_151_2	4	1																										1	2	2				2				1	1	1	2			2		2			2	10010	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	054	0	1	01	01	H1036_054_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	062	0	1	01	01	H1036_062_0	3	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	065	0	1	01	01	H1036_065_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	077	0	1	01	01	H1036_077_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	102	0	1	01	01	H1036_102_0	5	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	209	0	1	01	01	H1036_209_0	5	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	210	0	1	01	01	H1036_210_0	5	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	213	0	1	01	01	H1036_213_0	5	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	214	0	1	01	01	H1036_214_0	5	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
H1036	230	0	1	01	01	H1036_230_0	4	1																										1	2	2				2				1	1	1	2			2		2			2	10000	Purchases must be coordinated by a care manager on the member's behalf through the plan's approved vendor.	1																																																																																	
