pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b7b_bendesc_yn	pbp_b7b_bendesc_ehc	pbp_b7b_bendesc_amo_rc	pbp_b7b_bendesc_lim_rc	pbp_b7b_bendesc_num_rc	pbp_b7b_bendesc_per_rc	pbp_b7b_bendesc_per_rc_d	pbp_b7b_addl_service_other	pbp_b7b_bendesc_amo_other	pbp_b7b_bendesc_lim_other	pbp_b7b_bendesc_num_other	pbp_b7b_bendesc_per_other	pbp_b7b_bendesc_per_other_d	pbp_b7b_maxplan_yn	pbp_b7b_maxplan_amt	pbp_b7b_maxplan_per	pbp_b7b_maxplan_per_d	pbp_b7b_coins_yn	pbp_b7b_coins_ehc	pbp_b7b_coins_pct_rc_min	pbp_b7b_coins_pct_rc_max	pbp_b7b_coins_pct_other_min	pbp_b7b_coins_pct_other_max	pbp_b7b_copay_yn	pbp_b7b_copay_ehc	pbp_b7b_copay_rc_amt_min	pbp_b7b_copay_rc_amt_max	pbp_b7b_copay_other_amt_min	pbp_b7b_copay_other_amt_max	pbp_b7b_auth_yn	pbp_b7b_refer_yn	pbp_b7f_bendesc_yn	pbp_b7f_bendesc_rf	pbp_b7f_bendesc_amo_rf	pbp_b7f_bendesc_lim_rf	pbp_b7f_bendesc_amt_rf	pbp_b7f_bendesc_per_rf	pbp_b7f_bendesc_per_rf_d	pbp_b7f_maxplan_yn	pbp_b7f_maxplan_amt	pbp_b7f_maxplan_per	pbp_b7f_maxplan_per_d	pbp_b7f_coins_yn	pbp_b7f_coins_ehc	pbp_b7f_coins_pct_rf_min	pbp_b7f_coins_pct_rf_max	pbp_b7f_copay_yn	pbp_b7f_copay_ehc	pbp_b7f_copay_rf_amt_min	pbp_b7f_copay_rf_amt_max	pbp_b7f_auth_yn	pbp_b7f_refer_yn
H3817	801	0	1	04	01	H3817_801_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H3817	802	0	1	04	01	H3817_802_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H3817	803	0	1	04	01	H3817_803_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H3817	804	0	1	04	01	H3817_804_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H3928	801	0	1	01	01	H3928_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3928	801	0	1	01	01	H3928_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3928	803	0	1	01	01	H3928_803_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3928	803	0	1	01	01	H3928_803_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3931	801	0	1	01	01	H3931_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3931	801	0	1	01	01	H3931_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3931	804	0	1	01	01	H3931_804_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3931	804	0	1	01	01	H3931_804_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3959	804	0	1	01	01	H3959_804_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H3959	804	0	1	01	01	H3959_804_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4523	801	0	1	01	01	H4523_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4523	801	0	1	01	01	H4523_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4523	802	0	1	01	01	H4523_802_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4523	802	0	1	01	01	H4523_802_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4605	001	0	1	04	01	H4605_001_0	5	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H4605	002	0	1	04	01	H4605_002_0	6	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H4605	004	0	1	04	01	H4605_004_0	6	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H4605	801	0	1	04	01	H4605_801_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H4605	802	0	1	04	01	H4605_802_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H4605	803	0	1	04	01	H4605_803_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H4605	804	0	1	04	01	H4605_804_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H4711	801	0	1	01	01	H4711_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4711	801	0	1	01	01	H4711_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4835	801	0	1	01	01	H4835_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4835	801	0	1	01	01	H4835_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4982	801	0	1	01	01	H4982_801_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H4982	801	0	1	01	01	H4982_801_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H5009	002	0	1	04	01	H5009_002_0	6	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H5009	011	1	1	04	01	H5009_011_1	6	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H5009	011	2	1	04	01	H5009_011_2	6	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H5009	801	0	1	04	01	H5009_801_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H5009	802	0	1	04	01	H5009_802_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H5009	803	0	1	04	01	H5009_803_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H5009	804	0	1	04	01	H5009_804_0	3	1																																1	1	2	2	6	3		2				2				1	10	0.00	0.00	2	2
H5302	809	0	1	01	01	H5302_809_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H5302	809	0	1	01	01	H5302_809_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H5521	801	0	1	04	01	H5521_801_0	2	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				1	101	0	20	0	20	2						2	2	1	1	2	1				2				1	10	0	20	2				2	2
H5521	801	0	1	04	01	H5521_801_0	2	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H5521	805	0	2	04	01	H5521_805_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				1	101	0	20	0	20	2						2	2	1	1	2	1				2				1	10	0	20	2				2	2
H5521	805	0	2	04	01	H5521_805_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H5522	802	0	1	04	01	H5522_802_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H5522	802	0	1	04	01	H5522_802_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				1	101	0	20	0	20	2						2	2	1	1	2	1				2				1	10	0	20	2				2	2
H5522	803	0	1	04	01	H5522_803_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				1	101	0	20	0	20	2						2	2	1	1	2	1				2				1	10	0	20	2				2	2
H5522	803	0	1	04	01	H5522_803_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H5522	808	0	2	04	01	H5522_808_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				1	101	0	20	0	20	2						2	2	1	1	2	1				2				1	10	0	20	2				2	2
H5522	808	0	2	04	01	H5522_808_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
H5522	809	0	2	04	01	H5522_809_0	1	2	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				1	101	0	20	0	20	2						2	2	1	1	2	1				2				1	10	0	20	2				2	2
H5522	809	0	2	04	01	H5522_809_0	1	1	1	11	2	1				Non-Medicare (Other Chiropractic Services)	2	1				2				2						2						2	2	1	1	2	1				2				2				2				2	2
