pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b13i_bendesc_oth	pbp_b13i_o1_bendesc_service	pbp_b13i_o1_bendesc_amo	pbp_b13i_o1_maxplan_yn	pbp_b13i_o1_maxplan_amt	pbp_b13i_o1_maxplan_per	pbp_b13i_o1_maxplan_per_d	pbp_b13i_o1_maxenr_yn	pbp_b13i_o1_maxenr_amt	pbp_b13i_o1_maxenr_per	pbp_b13i_o1_maxenr_per_d	pbp_b13i_o1_coins_yn	pbp_b13i_o1_coins_pct_min	pbp_b13i_o1_coins_pct_max	pbp_b13i_o1_ded_yn	pbp_b13i_o1_ded_amt	pbp_b13i_o1_copay_yn	pbp_b13i_o1_copay_amt_min	pbp_b13i_o1_copay_amt_max	pbp_b13i_o1_auth_yn	pbp_b13i_o1_refer_yn	pbp_b13i_o2_bendesc_service	pbp_b13i_o2_bendesc_amo	pbp_b13i_o2_maxplan_yn	pbp_b13i_o2_maxplan_amt	pbp_b13i_o2_maxplan_per	pbp_b13i_o2_maxplan_per_d	pbp_b13i_o2_maxenr_yn	pbp_b13i_o2_maxenr_amt	pbp_b13i_o2_maxenr_per	pbp_b13i_o2_maxenr_per_d	pbp_b13i_o2_coins_yn	pbp_b13i_o2_coins_pct_min	pbp_b13i_o2_coins_pct_max	pbp_b13i_o2_ded_yn	pbp_b13i_o2_ded_amt	pbp_b13i_o2_copay_yn	pbp_b13i_o2_copay_amt_min	pbp_b13i_o2_copay_amt_max	pbp_b13i_o2_auth_yn	pbp_b13i_o2_refer_yn	pbp_b13i_o3_bendesc_service	pbp_b13i_o3_bendesc_amo	pbp_b13i_o3_maxplan_yn	pbp_b13i_o3_maxplan_amt	pbp_b13i_o3_maxplan_per	pbp_b13i_o3_maxplan_per_d	pbp_b13i_o3_maxenr_yn	pbp_b13i_o3_maxenr_amt	pbp_b13i_o3_maxenr_per	pbp_b13i_o3_maxenr_per_d	pbp_b13i_o3_coins_yn	pbp_b13i_o3_coins_pct_min	pbp_b13i_o3_coins_pct_max	pbp_b13i_o3_ded_yn	pbp_b13i_o3_ded_amt	pbp_b13i_o3_copay_yn	pbp_b13i_o3_copay_amt_min	pbp_b13i_o3_copay_amt_max	pbp_b13i_o3_auth_yn	pbp_b13i_o3_refer_yn	pbp_b13i_o4_bendesc_service	pbp_b13i_o4_bendesc_amo	pbp_b13i_o4_maxplan_yn	pbp_b13i_o4_maxplan_amt	pbp_b13i_o4_maxplan_per	pbp_b13i_o4_maxplan_per_d	pbp_b13i_o4_maxenr_yn	pbp_b13i_o4_maxenr_amt	pbp_b13i_o4_maxenr_per	pbp_b13i_o4_maxenr_per_d	pbp_b13i_o4_coins_yn	pbp_b13i_o4_coins_pct_min	pbp_b13i_o4_coins_pct_max	pbp_b13i_o4_ded_yn	pbp_b13i_o4_ded_amt	pbp_b13i_o4_copay_yn	pbp_b13i_o4_copay_amt_min	pbp_b13i_o4_copay_amt_max	pbp_b13i_o4_auth_yn	pbp_b13i_o4_refer_yn	pbp_b13i_o5_bendesc_service	pbp_b13i_o5_bendesc_amo	pbp_b13i_o5_maxplan_yn	pbp_b13i_o5_maxplan_amt	pbp_b13i_o5_maxplan_per	pbp_b13i_o5_maxplan_per_d	pbp_b13i_o5_maxenr_yn	pbp_b13i_o5_maxenr_amt	pbp_b13i_o5_maxenr_per	pbp_b13i_o5_maxenr_per_d	pbp_b13i_o5_coins_yn	pbp_b13i_o5_coins_pct_min	pbp_b13i_o5_coins_pct_max	pbp_b13i_o5_ded_yn	pbp_b13i_o5_ded_amt	pbp_b13i_o5_copay_yn	pbp_b13i_o5_copay_amt_min	pbp_b13i_o5_copay_amt_max	pbp_b13i_o5_auth_yn	pbp_b13i_o5_refer_yn
H1609	043	0	1	01	01	H1609_043_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	044	0	1	01	01	H1609_044_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	045	0	1	01	01	H1609_045_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	046	0	1	01	01	H1609_046_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	047	0	1	01	01	H1609_047_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	048	0	1	01	01	H1609_048_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	049	0	1	01	01	H1609_049_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	055	0	1	01	01	H1609_055_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	056	0	1	01	01	H1609_056_0	4	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	061	0	1	01	01	H1609_061_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	062	0	1	01	01	H1609_062_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	064	0	1	01	01	H1609_064_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	068	0	1	02	01	H1609_068_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	073	0	1	01	01	H1609_073_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	074	0	1	01	01	H1609_074_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	075	0	1	01	01	H1609_075_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	076	0	1	01	01	H1609_076_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	077	0	1	01	01	H1609_077_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	078	0	1	01	01	H1609_078_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	079	0	1	01	01	H1609_079_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	080	0	1	01	01	H1609_080_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	081	0	1	01	01	H1609_081_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	082	0	1	01	01	H1609_082_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	083	0	1	01	01	H1609_083_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	084	0	1	01	01	H1609_084_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	085	0	1	01	01	H1609_085_0	3	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	088	0	1	01	01	H1609_088_0	4	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	089	0	1	01	01	H1609_089_0	4	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
H1609	090	0	1	01	01	H1609_090_0	4	1	01000	Personal Care Items	2	2				2				2			2		1	0.00	0.00	2	2																																																																																
