pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b18a_bendesc_yn	pbp_b18a_bendesc_ehc	pbp_b18a_bendesc_amo_rht	pbp_b18a_bendesc_lim_rht	pbp_b18a_bendesc_numv_cl	pbp_b18a_bendesc_per_rht	pbp_b18a_bendesc_per_rht_d	pbp_b18a_bendesc_amo_fha	pbp_b18a_bendesc_lim_fha	pbp_b18a_bendesc_numv_fha	pbp_b18a_bendesc_per_fha	pbp_b18a_bendesc_per_fha_d	pbp_b18a_maxplan_yn	pbp_b18a_maxplan_in_oon	pbp_b18a_maxplan_amt	pbp_b18a_maxplan_per	pbp_b18a_maxplan_per_d	pbp_b18a_ded_nmc_yn	pbp_b18a_ded_nmc_amt	pbp_b18a_coins_yn	pbp_b18a_coins_ehc	pbp_b18a_coins_pct_rht	pbp_b18a_coins_pct_max_rht	pbp_b18a_coins_pct_fha	pbp_b18a_coins_pct_max_fha	pbp_b18a_copay_yn	pbp_b18a_copay_ehc	pbp_b18a_copay_amt_rht	pbp_b18a_copay_amt_max_rht	pbp_b18a_copay_amt_fha	pbp_b18a_copay_amt_max_fha	pbp_b18a_auth_yn	pbp_b18a_refer_yn	pbp_b18b_bendesc_yn	pbp_b18b_bendesc_ehc	pbp_b18b_bendesc_amo_at	pbp_b18b_bendesc_lim_at	pbp_b18b_bendesc_numv_at	pbp_b18b_bendesc_per_at	pbp_b18b_bendesc_per_at_d	pbp_b18b_bendesc_amo_ie	pbp_b18b_bendesc_lim_ie	pbp_b18b_bendesc_numv_ie	pbp_b18b_bendesc_per_ie	pbp_b18b_bendesc_per_ie_d	pbp_b18b_bendesc_amo_oe	pbp_b18b_bendesc_lim_oe	pbp_b18b_bendesc_numv_oe	pbp_b18b_bendesc_per_oe	pbp_b18b_bendesc_per_oe_d	pbp_b18b_bendesc_amo_ote	pbp_b18b_bendesc_lim_ote	pbp_b18b_bendesc_numv_ote	pbp_b18b_bendesc_per_ote	pbp_b18b_bendesc_per_ote_d	pbp_b18b_maxplan_yn	pbp_b18b_maxplan_perear	pbp_b18b_maxplan_type	pbp_b18b_maxplan_in_oon	pbp_b18b_maxplan_amt	pbp_b18b_maxplan_per	pbp_b18b_maxplan_per_d	pbp_b18b_maxenr_yn	pbp_b18b_maxenr_type	pbp_b18b_maxenr_amt	pbp_b18b_maxenr_per	pbp_b18b_maxenr_per_d	pbp_b18b_coins_yn	pbp_b18b_coins_ehc	pbp_b18b_coins_pct_at_min	pbp_b18b_coins_pct_at_max	pbp_b18b_coins_pct_ie_min	pbp_b18b_coins_pct_ie_max	pbp_b18b_coins_pct_oe_min	pbp_b18b_coins_pct_oe_max	pbp_b18b_coins_pct_ote_min	pbp_b18b_coins_pct_ote_max	pbp_b18b_copay_yn	pbp_b18b_copay_ehc	pbp_b18b_copay_at_min_amt	pbp_b18b_copay_at_max_amt	pbp_b18b_copay_amt_per_ie_min	pbp_b18b_copay_amt_per_ie_max	pbp_b18b_copay_amt_p2_ie_min	pbp_b18b_copay_amt_p2_ie_max	pbp_b18b_copay_amt_per_oe_min	pbp_b18b_copay_amt_per_oe_max	pbp_b18b_copay_amt_p2_oe_min	pbp_b18b_copay_amt_p2_oe_max	pbp_b18b_copay_amt_per_ote_min	pbp_b18b_copay_amt_per_ote_max	pbp_b18b_copay_amt_p2_ote_min	pbp_b18b_copay_amt_p2_ote_max	pbp_b18b_ded_yn	pbp_b18b_ded_amt	pbp_b18b_auth_yn	pbp_b18b_refer_yn	pbp_b18c_bendesc_amo	pbp_b18c_maxplan_yn	pbp_b18c_maxplan_aid_type	pbp_b18c_maxplan_in_oon	pbp_b18c_maxplan_amt	pbp_b18c_maxplan_per	pbp_b18c_maxplan_per_desc	pbp_b18c_maxenr_yn	pbp_b18c_maxenr_amt	pbp_b18c_maxenr_per	pbp_b18c_maxenr_per_desc	pbp_b18c_ded_yn	pbp_b18c_ded_amt	pbp_b18c_bendesc_lim	pbp_b18c_bendesc_num	pbp_b18c_bendesc_per	pbp_b18c_bendesc_desc	pbp_b18c_coins_yn	pbp_b18c_coins_pct	pbp_b18c_coins_pct_min	pbp_b18c_coins_pct_max	pbp_b18c_copay_yn	pbp_b18c_copay_amt	pbp_b18c_copay_amt_min	pbp_b18c_copay_amt_max	pbp_b18c_auth_yn	pbp_b18c_refer_yn
H2056	802	0	1	01	01	H2056_802_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H2056	802	0	1	01	01	H2056_802_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H2663	805	0	1	01	01	H2663_805_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H2663	805	0	1	01	01	H2663_805_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H2875	001	0	1	02	01	H2875_001_0	3	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H2875	002	0	1	02	01	H2875_002_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H2875	006	0	1	02	01	H2875_006_0	4	1																																		1	0100	2	1																			2							2					2										2																2		1	2	2	2						2				2		1				2				2				1	2
H3146	801	0	1	01	01	H3146_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3146	801	0	1	01	01	H3146_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3152	801	0	1	01	01	H3152_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3152	801	0	1	01	01	H3152_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3152	804	0	1	01	01	H3152_804_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3152	804	0	1	01	01	H3152_804_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3192	801	0	1	01	01	H3192_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3192	801	0	1	01	01	H3192_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3219	801	0	1	04	01	H3219_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3219	801	0	1	04	01	H3219_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3288	801	0	1	04	01	H3288_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3288	801	0	1	04	01	H3288_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3312	801	0	1	01	01	H3312_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3312	801	0	1	01	01	H3312_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3312	804	0	1	01	01	H3312_804_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3312	804	0	1	01	01	H3312_804_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3597	801	0	1	01	01	H3597_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3597	801	0	1	01	01	H3597_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3597	802	0	1	01	01	H3597_802_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3597	802	0	1	01	01	H3597_802_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3748	801	0	1	01	01	H3748_801_0	1	2	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
H3748	801	0	1	01	01	H3748_801_0	1	1	1	11	2	1				2	1				2					2		2						2						2	2	1	0100	2	1																			2							2					2										2																2		2	2																											
