pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_use_mand_18b_yn	pbp_d_opt_use_mand_18b1_yn	pbp_d_opt_use_mand_18b2_yn	pbp_d_opt_use_mand_18b3_yn	pbp_d_opt_use_mand_18b4_yn	pbp_b18b_bendesc_yn	pbp_b18b_bendesc_ehc	pbp_b18b_bendesc_amo_at	pbp_b18b_bendesc_lim_at	pbp_b18b_bendesc_numv_at	pbp_b18b_bendesc_per_at	pbp_b18b_bendesc_per_at_d	pbp_b18b_bendesc_amo_ie	pbp_b18b_bendesc_lim_ie	pbp_b18b_bendesc_numv_ie	pbp_b18b_bendesc_per_ie	pbp_b18b_bendesc_per_ie_d	pbp_b18b_bendesc_amo_oe	pbp_b18b_bendesc_lim_oe	pbp_b18b_bendesc_numv_oe	pbp_b18b_bendesc_per_oe	pbp_b18b_bendesc_per_oe_d	pbp_b18b_bendesc_amo_ote	pbp_b18b_bendesc_lim_ote	pbp_b18b_bendesc_numv_ote	pbp_b18b_bendesc_per_ote	pbp_b18b_bendesc_per_ote_d	pbp_b18b_maxplan_yn	pbp_b18b_maxplan_perear	pbp_b18b_maxplan_type	pbp_b18b_maxplan_in_oon	pbp_b18b_maxplan_amt	pbp_b18b_maxplan_per	pbp_b18b_maxplan_per_d	pbp_b18b_maxenr_yn	pbp_b18b_maxenr_type	pbp_b18b_maxenr_amt	pbp_b18b_maxenr_per	pbp_b18b_maxenr_per_d	pbp_b18b_coins_yn	pbp_b18b_coins_ehc	pbp_b18b_coins_pct_at_min	pbp_b18b_coins_pct_at_max	pbp_b18b_coins_pct_ie_min	pbp_b18b_coins_pct_ie_max	pbp_b18b_coins_pct_oe_min	pbp_b18b_coins_pct_oe_max	pbp_b18b_coins_pct_ote_min	pbp_b18b_coins_pct_ote_max	pbp_b18b_copay_yn	pbp_b18b_copay_ehc	pbp_b18b_copay_at_min_amt	pbp_b18b_copay_at_max_amt	pbp_b18b_copay_amt_per_ie_min	pbp_b18b_copay_amt_per_ie_max	pbp_b18b_copay_amt_p2_ie_min	pbp_b18b_copay_amt_p2_ie_max	pbp_b18b_copay_amt_per_oe_min	pbp_b18b_copay_amt_per_oe_max	pbp_b18b_copay_amt_p2_oe_min	pbp_b18b_copay_amt_p2_oe_max	pbp_b18b_copay_amt_per_ote_min	pbp_b18b_copay_amt_per_ote_max	pbp_b18b_copay_amt_p2_ote_min	pbp_b18b_copay_amt_p2_ote_max	pbp_b18b_ded_yn	pbp_b18b_ded_amt	pbp_b18b_auth_yn	pbp_b18b_refer_yn	pbp_d_opt_identifier
H0630	016	0	1	02	01	H0630_016_0	6	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	001
H0630	016	0	1	02	01	H0630_016_0	6	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	002
H0630	017	0	1	01	01	H0630_017_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	001
H0630	017	0	1	01	01	H0630_017_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	002
H0630	020	0	1	01	01	H0630_020_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	001
H0630	020	0	1	01	01	H0630_020_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	002
H0630	021	0	1	02	01	H0630_021_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	001
H0630	021	0	1	02	01	H0630_021_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	002
H0630	023	0	1	02	01	H0630_023_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	001
H0630	023	0	1	02	01	H0630_023_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	002
H0630	025	0	1	02	01	H0630_025_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	001
H0630	025	0	1	02	01	H0630_025_0	5	2	2				1	0100	3	2	2	2																	1	1	2		500.00	2		2					2										2																2		2	1	002
H1170	002	0	1	01	01	H1170_002_0	6						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		1	2	001
H1170	009	0	1	01	01	H1170_009_0	6						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		1	2	001
H1170	012	0	1	01	01	H1170_012_0	6						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		1	2	001
H1170	013	0	1	02	01	H1170_013_0	6						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		1	2	001
H1170	014	0	1	01	01	H1170_014_0	5						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		1	2	001
H1170	016	0	1	01	01	H1170_016_0	6						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		1	2	001
H1170	017	0	1	01	01	H1170_017_0	5						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		1	2	001
H1230	001	0	1	01	01	H1230_001_0	3						1	0100	3	2	2	1																	1	3	2		1500.00	1		2					2										2																2		1	1	001
